"Entity","Source","Entity Type","Primary Product","Lease Name","Well Number","API","Regulatory API","Year","Annual Liquid","Annual Gas","Annual Water","Prior Cum Liquid","Prior Cum Gas","Prior Cum Water",
"1420200009601 T","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","1 T","42391018750000","","1970","7691","23071","","","","",
"1420200009601 T","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","1 T","42391018750000","","1971","8236","20908","","7691","23071","",
"1420200009601 T","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","1 T","42391018750000","","1972","5775","16064","","15927","43979","",
"1420200009601 T","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","1 T","42391018750000","","1973","3892","3136","53810","21702","60043","",
"1420200009601 T","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","1 T","42391018750000","","1974","1532","448","","25594","63179","53810",
"14202000096011 L","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","11 L","42391018810002","","1970","3875","11037","","","","",
"14202000096011 L","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","11 L","42391018810002","","1971","2921","7306","","3875","11037","",
"14202000096011 L","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","11 L","42391018810002","","1972","3129","8115","","6796","18343","",
"14202000096011 L","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","11 L","42391018810002","","1973","3430","7441","130024","9925","26458","",
"14202000096011 L","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","11 L","42391018810002","","1974","4102","12014","108243","13355","33899","130024",
"14202000096011 L","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","11 L","42391018810002","","1975","4099","13690","140888","17457","45913","238267",
"14202000096011 L","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","11 L","42391018810002","","1976","3674","14968","90434","21556","59603","379155",
"14202000096011 L","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","11 L","42391018810002","","1977","515","413","","25230","74571","469589",
"14202000096011 L","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","11 L","42391018810002","","1978","641","708","","25745","74984","469589",
"14202000096013","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","13","42391018830000","","1970","5857","17198","","","","",
"14202000096013","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","13","42391018830000","","1971","5006","12723","","5857","17198","",
"14202000096013","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","13","42391018830000","","1972","1004","3944","","10863","29921","",
"14202000096014","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","14","42391018840000","","1970","3992","11412","","","","",
"14202000096014","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","14","42391018840000","","1971","2800","6964","","3992","11412","",
"14202000096014","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","14","42391018840000","","1972","396","1544","","6792","18376","",
"14202000096015","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","15","42391018850000","","1974","4084","14814","104077","","","",
"14202000096015","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","15","42391018850000","","1975","4390","23447","","4084","14814","104077",
"14202000096015","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","15","42391018850000","","1977","1057","2110","82318","8474","38261","104077",
"14202000096015","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","15","42391018850000","","1978","688","4576","50800","9531","40371","186395",
"14202000096015","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","15","42391018850000","","1979","2218","3519","76614","10219","44947","237195",
"14202000096015","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","15","42391018850000","","1980","1287","1461","103046","12437","48466","313809",
"14202000096015","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","15","42391018850000","","1981","1809","5213","158677","13724","49927","416855",
"14202000096015","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","15","42391018850000","","1982","855","958","59073","15533","55140","575532",
"14202000096015","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","15","42391018850000","","1983","908","2303","51112","16388","56098","634605",
"14202000096015","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","15","42391018850000","","1984","1054","1167","57970","17296","58401","685717",
"14202000096015 T","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","15 T","42391018850000","","1970","4835","13567","","","","",
"14202000096015 T","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","15 T","42391018850000","","1971","3835","9551","","4835","13567","",
"14202000096015 T","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","15 T","42391018850000","","1972","3070","7892","","8670","23118","",
"14202000096015 T","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","15 T","42391018850000","","1973","2627","2834","73616","11740","31010","",
"1420200009603 T","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","3 T","42391018770000","","1970","1060","2594","","","","",
"1420200009603 T","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","3 T","42391018770000","","1971","2901","7277","","1060","2594","",
"1420200009603 T","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","3 T","42391018770000","","1972","2119","5523","","3961","9871","",
"1420200009603 T","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","3 T","42391018770000","","1973","736","416","","6080","15394","",
"1420200009608","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","8","42391018790001","","1970","14369","41156","","","","",
"1420200009608","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","8","42391018790001","","1971","11503","29164","","14369","41156","",
"1420200009608","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","8","42391018790001","","1972","8816","24243","","25872","70320","",
"1420200009608","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","8","42391018790001","","1973","11386","9805","235968","34688","94563","",
"1420200009608","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","8","42391018790001","","1974","8762","11453","176111","46074","104368","235968",
"1420200009608","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","8","42391018790001","","1975","4939","3976","193284","54836","115821","412079",
"1420200009608","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","8","42391018790001","","1976","8182","4075","143912","59775","119797","605363",
"1420200009608","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","8","42391018790001","","1977","4920","5290","25128","67957","123872","749275",
"1420200009608","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","8","42391018790001","","1978","2808","20572","145382","72877","129162","774403",
"1420200009608","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","8","42391018790001","","1979","1768","9468","58807","75685","149734","919785",
"1420200009608","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","8","42391018790001","","1980","96","289","","77453","159202","978592",
"142020000960MULTIWELL01","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","MULTI","42391018790000","","1958","102950","","","657829","","",
"142020000960MULTIWELL01","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","MULTI","42391018790000","","1959","104233","","","760779","","",
"142020000960MULTIWELL01","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","MULTI","42391018790000","","1960","88055","","","865012","","",
"142020000960MULTIWELL01","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","MULTI","42391018790000","","1961","85664","","","953067","","",
"142020000960MULTIWELL01","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","MULTI","42391018790000","","1962","78548","","","1038731","","",
"142020000960MULTIWELL01","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","MULTI","42391018790000","","1963","78343","","","1117279","","",
"142020000960MULTIWELL01","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","MULTI","42391018790000","","1964","79764","","","1195622","","",
"142020000960MULTIWELL01","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","MULTI","42391018790000","","1965","75398","100447","","1275386","77387","",
"142020000960MULTIWELL01","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","MULTI","42391018790000","","1966","74489","180313","","1350784","177834","",
"142020000960MULTIWELL01","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","MULTI","42391018790000","","1967","73085","68128","","1425273","358147","",
"142020000960MULTIWELL01","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","MULTI","42391018790000","","1968","70570","112234","","1498358","426275","",
"142020000960MULTIWELL01","PI","ALLOCATED","O","O CONNOR MARY ELLEN -B-","MULTI","42391018790000","","1969","49684","93666","","1568928","538509","",
"1420200009611 L","PI","ALLOCATED","O","OCONNOR THOMAS JAMES -C-","1 L","42391019600000","","1970","18048","43747","","","","",
"1420200009611 L","PI","ALLOCATED","O","OCONNOR THOMAS JAMES -C-","1 L","42391019600000","","1971","15386","17070","","18048","43747","",
"1420200009611 L","PI","ALLOCATED","O","OCONNOR THOMAS JAMES -C-","1 L","42391019600000","","1972","13381","11449","","33434","60817","",
"1420200009611 L","PI","ALLOCATED","O","OCONNOR THOMAS JAMES -C-","1 L","42391019600000","","1973","8143","4774","62691","46815","72266","",
"1420200009611 L","PI","ALLOCATED","O","OCONNOR THOMAS JAMES -C-","1 L","42391019600000","","1974","7952","239","105359","54958","77040","62691",
"1420200009611 L","PI","ALLOCATED","O","OCONNOR THOMAS JAMES -C-","1 L","42391019600000","","1975","2506","141","32140","62910","77279","168050",
"1420200009611 L","PI","ALLOCATED","O","OCONNOR THOMAS JAMES -C-","1 L","42391019600000","","1976","926","2","","65416","77420","200190",
"1420200009612 T","PI","ALLOCATED","O","OCONNOR THOMAS JAMES -C-","2 T","42391019610000","","1970","1398","2858","","","","",
